     ident,             JDTDB,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                  mass,               radius,
       Sun, 2458303.500000000,  9.101610443610254E+04,  1.037167048867013E+06, -1.368244601479493E+04, -1.239424036547013E-02,  6.294411675153017E-03,  3.054135344018908E-04,          1.988544E+30,            6.963E+05,
   Mercury, 2458303.500000000, -5.569582239590788E+07, -3.094049850936104E+07,  2.491159875681188E+06,  1.418889900788423E+01, -4.012178648488402E+01, -4.581512746825918E+00,             3.302E+23,                 2440,
     Venus, 2458303.500000000, -9.265560303173910E+07, -5.423919240399420E+07,  4.580151290216884E+06,  1.767133649598227E+01, -3.024081831490433E+01, -1.435080227896020E+00,            48.685E+23,               6051.8,
     Earth, 2458303.500000000,  3.104547279255378E+07, -1.478725895033641E+08, -7.149109275639057E+03,  2.866573777548915E+01,  5.946192339512695E+00,  7.570957063327555E-04,           5.97219E+24,              6371.01,
      Mars, 2458303.500000000,  7.170499150343919E+07, -1.987244313324010E+08, -5.956637774738401E+06,  2.370920220311856E+01,  1.026253264528896E+01, -3.669057305522774E-01,            6.4185E+23,               3389.9,
   Jupiter, 2458303.500000000, -4.923698416058596E+08, -6.386585936784935E+08,  1.366229170996469E+07,  1.019425951436777E+01, -7.355230634940169E+00, -1.974460861283625E-01,           1898.13E+24,                69911,
    Saturn, 2458303.500000000,  1.520132569041004E+08, -1.496872951673744E+09,  1.997570391005522E+07,  9.080117061472608E+00,  9.448422870108091E-01, -3.778718717916901E-01,           5.68319E+26,                58232,
    Uranus, 2458303.500000000,  2.599605668500246E+09,  1.446268365009777E+09, -2.830678516978014E+07, -3.360823790734234E+00,  5.633568877119655E+00,  6.423828781964014E-02,           86.8103E+24,                25362,
   Neptune, 2458303.500000000,  4.314127810012753E+09, -1.201771487642353E+09, -7.467527931598014E+07,  1.421750032584382E+00,  5.267598172837702E+00, -1.413223572567683E-01,            102.41E+24,                24624,
     Pluto, 2458303.500000000,  1.695842553266250E+09, -4.729856231473806E+09,  1.558572875344849E+07,  5.239207719566148E+00,  6.828018899957222E-01, -1.610299540967452E+00,             1.307E+22,                 1195,
